marker_label,lsl_timestamp,local_received_lsl_timestamp
dynamic_sart_trial_complete__v=1__trial=-20__condition=go__digit=7__block=-1__phase=practice__practice=1,1296459.312076700,1296459.320458500
dynamic_sart_stimulus_onset__v=1__trial=-21__condition=go__digit=5__block=-1__phase=practice__practice=1,1296459.777240600,1296459.777446300
dynamic_sart_stimulus_offset__v=1__trial=-21__condition=go__digit=5__block=-1__phase=practice__practice=1,1296460.032652800,1296460.032814600
dynamic_sart_response_window_close__v=1__trial=-21__condition=go__digit=5__block=-1__phase=practice__practice=1,1296461.373925600,1296461.374144900
dynamic_sart_trial_complete__v=1__trial=-21__condition=go__digit=5__block=-1__phase=practice__practice=1,1296461.373925600,1296461.385727100
dynamic_sart_stimulus_onset__v=1__trial=-22__condition=go__digit=7__block=-1__phase=practice__practice=1,1296461.846758300,1296461.846998100
dynamic_sart_stimulus_offset__v=1__trial=-22__condition=go__digit=7__block=-1__phase=practice__practice=1,1296462.115960600,1296462.116432800
dynamic_sart_response_window_close__v=1__trial=-22__condition=go__digit=7__block=-1__phase=practice__practice=1,1296463.453381700,1296463.453597100
dynamic_sart_trial_complete__v=1__trial=-22__condition=go__digit=7__block=-1__phase=practice__practice=1,1296463.453381700,1296463.461959800
dynamic_sart_stimulus_onset__v=1__trial=-23__condition=go__digit=0__block=-1__phase=practice__practice=1,1296463.902556300,1296463.902791100
dynamic_sart_stimulus_offset__v=1__trial=-23__condition=go__digit=0__block=-1__phase=practice__practice=1,1296464.171120000,1296464.171350500
dynamic_sart_response_window_close__v=1__trial=-23__condition=go__digit=0__block=-1__phase=practice__practice=1,1296465.499269800,1296465.499563800
dynamic_sart_trial_complete__v=1__trial=-23__condition=go__digit=0__block=-1__phase=practice__practice=1,1296465.499269800,1296465.507134900
dynamic_sart_stimulus_onset__v=1__trial=-24__condition=no_go__digit=3__block=-1__phase=practice__practice=1,1296465.958031600,1296465.958259000
dynamic_sart_stimulus_offset__v=1__trial=-24__condition=no_go__digit=3__block=-1__phase=practice__practice=1,1296466.245855400,1296466.246082200
dynamic_sart_response_window_close__v=1__trial=-24__condition=no_go__digit=3__block=-1__phase=practice__practice=1,1296467.561031000,1296467.561273100
dynamic_sart_trial_complete__v=1__trial=-24__condition=no_go__digit=3__block=-1__phase=practice__practice=1,1296467.561031000,1296467.570114600
dynamic_sart_stimulus_onset__v=1__trial=-25__condition=go__digit=2__block=-1__phase=practice__practice=1,1296468.022818700,1296468.023022400
dynamic_sart_stimulus_offset__v=1__trial=-25__condition=go__digit=2__block=-1__phase=practice__practice=1,1296468.292431200,1296468.292677900
dynamic_sart_response_window_close__v=1__trial=-25__condition=go__digit=2__block=-1__phase=practice__practice=1,1296469.623227700,1296469.623449300
dynamic_sart_trial_complete__v=1__trial=-25__condition=go__digit=2__block=-1__phase=practice__practice=1,1296469.623227700,1296469.631913400
dynamic_sart_stimulus_onset__v=1__trial=-26__condition=go__digit=9__block=-1__phase=practice__practice=1,1296470.100219300,1296470.100573600
