trial,label,event_type,timestamp,value,metadata
-4,dynamic_sart_key_event,EVENT,1399175.6740958,space,"{""assigned_block"": -1, ""assigned_phase"": ""practice"", ""event_id"": ""key-00000005"", ""hardware_timestamped"": true, ""is_escape_key"": false, ""is_late"": false, ""is_premature"": false, ""is_response_key"": true, ""keyboard_backend"": ""psychopy.hardware.keyboard.Keyboard"", ""keyboard_time"": 8.862099600024521, ""schema"": ""eegle.dynamic_sart.key_event.v1"", ""task_state"": ""RESPONSE_WINDOW_MASK"", ""timestamp_lsl_if_available"": 1399175.8629149}"
-4,dynamic_sart_response_window_close__v=1__trial=-4__condition=go__digit=7__block=-1__phase=practice__practice=1,EVENT,1399176.812,,"{""block"": -1, ""condition"": ""go"", ""cue_assignment"": null, ""cue_opportunity"": false, ""cue_opportunity_index"": null, ""cue_randomization_block_index"": null, ""digit"": 7, ""flip_lsl_timestamp"": 1399177.0101568, ""flip_monotonic"": 1399176.812, ""lsl_timestamp"": 1399177.0101568, ""phase"": ""practice"", ""practice"": true, ""response_window_close_overshoot_seconds"": 0.0, ""scheduled_on_flip"": true, ""scheduled_response_window_close_lsl"": 1399177.006548, ""scheduled_response_window_close_monotonic"": 1399176.8180000002, ""schema_version"": 1, ""sequence_id"": ""237942804d5e24dc51a11ff9281243bab0f3fb0afd493a5da2f3cce232c141d1"", ""study_segment"": null}"
-4,dynamic_sart_trial_complete__v=1__trial=-4__condition=go__digit=7__block=-1__phase=practice__practice=1,EVENT,1399176.812,,"{""block"": -1, ""condition"": ""go"", ""correct"": true, ""cue_assignment"": null, ""cue_opportunity"": false, ""cue_opportunity_index"": null, ""cue_randomization_block_index"": null, ""digit"": 7, ""lsl_timestamp"": 1399177.0101568, ""marker_emit_attempted"": true, ""marker_stream_name"": ""EEGleMarkers"", ""marker_stream_source_id"": ""eegle-markers-dynamic_sart-run-20260820T161425-cd265ce895a2"", ""marker_stream_type"": ""Markers"", ""phase"": ""practice"", ""practice"": true, ""primary_outcome"": ""correct_go"", ""reaction_time_seconds"": 0.4560957998037338, ""schema_version"": 1, ""sequence_id"": ""237942804d5e24dc51a11ff9281243bab0f3fb0afd493a5da2f3cce232c141d1"", ""study_segment"": null, ""task"": ""dynamic_sart""}"
-5,dynamic_sart_stimulus_onset__v=1__trial=-5__condition=go__digit=2__block=-1__phase=practice__practice=1,EVENT,1399177.218,,"{""block"": -1, ""condition"": ""go"", ""cue_assignment"": null, ""cue_opportunity"": false, ""cue_opportunity_index"": null, ""cue_randomization_block_index"": null, ""digit"": 2, ""expected_visual_onset_lsl_timestamp"": 1399177.4151201, ""expected_visual_onset_monotonic"": 1399177.218, ""expected_visual_onset_uncertainty_ms"": 4.148969997186214, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 1399177.4151201, ""flip_monotonic"": 1399177.218, ""lsl_timestamp"": 1399177.4151201, ""marker_emit_attempted"": true, ""marker_stream_name"": ""EEGleMarkers"", ""marker_stream_source_id"": ""eegle-markers-dynamic_sart-run-20260820T161425-cd265ce895a2"", ""marker_stream_type"": ""Markers"", ""phase"": ""practice"", ""photodiode_verification_enabled"": false, ""practice"": true, ""scheduled_on_flip"": true, ""schema_version"": 1, ""sequence_id"": ""237942804d5e24dc51a11ff9281243bab0f3fb0afd493a5da2f3cce232c141d1"", ""study_segment"": null, ""task"": ""dynamic_sart"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
-5,dynamic_sart_stimulus_offset__v=1__trial=-5__condition=go__digit=2__block=-1__phase=practice__practice=1,EVENT,1399177.468,,"{""block"": -1, ""condition"": ""go"", ""cue_assignment"": null, ""cue_opportunity"": false, ""cue_opportunity_index"": null, ""cue_randomization_block_index"": null, ""digit"": 2, ""expected_visual_onset_lsl_timestamp"": 1399177.6648502, ""expected_visual_onset_monotonic"": 1399177.468, ""expected_visual_onset_uncertainty_ms"": 4.148969997186214, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 1399177.6648502, ""flip_monotonic"": 1399177.468, ""lsl_timestamp"": 1399177.6648502, ""marker_emit_attempted"": true, ""marker_stream_name"": ""EEGleMarkers"", ""marker_stream_source_id"": ""eegle-markers-dynamic_sart-run-20260820T161425-cd265ce895a2"", ""marker_stream_type"": ""Markers"", ""phase"": ""practice"", ""photodiode_verification_enabled"": false, ""practice"": true, ""scheduled_on_flip"": true, ""schema_version"": 1, ""sequence_id"": ""237942804d5e24dc51a11ff9281243bab0f3fb0afd493a5da2f3cce232c141d1"", ""study_segment"": null, ""task"": ""dynamic_sart"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
-5,dynamic_sart_key_event,EVENT,1399177.6568836,space,"{""assigned_block"": -1, ""assigned_phase"": ""practice"", ""event_id"": ""key-00000006"", ""hardware_timestamped"": true, ""is_escape_key"": false, ""is_late"": false, ""is_premature"": false, ""is_response_key"": true, ""keyboard_backend"": ""psychopy.hardware.keyboard.Keyboard"", ""keyboard_time"": 10.844887400045991, ""schema"": ""eegle.dynamic_sart.key_event.v1"", ""task_state"": ""RESPONSE_WINDOW_MASK"", ""timestamp_lsl_if_available"": 1399177.8457027}"
-5,dynamic_sart_response_window_close__v=1__trial=-5__condition=go__digit=2__block=-1__phase=practice__practice=1,EVENT,1399178.812,,"{""block"": -1, ""condition"": ""go"", ""cue_assignment"": null, ""cue_opportunity"": false, ""cue_opportunity_index"": null, ""cue_randomization_block_index"": null, ""digit"": 2, ""flip_lsl_timestamp"": 1399179.0093386, ""flip_monotonic"": 1399178.812, ""lsl_timestamp"": 1399179.0093386, ""phase"": ""practice"", ""practice"": true, ""response_window_close_overshoot_seconds"": 0.0, ""scheduled_on_flip"": true, ""scheduled_response_window_close_lsl"": 1399179.0151201, ""scheduled_response_window_close_monotonic"": 1399178.8180000002, ""schema_version"": 1, ""sequence_id"": ""237942804d5e24dc51a11ff9281243bab0f3fb0afd493a5da2f3cce232c141d1"", ""study_segment"": null}"
-5,dynamic_sart_trial_complete__v=1__trial=-5__condition=go__digit=2__block=-1__phase=practice__practice=1,EVENT,1399178.812,,"{""block"": -1, ""condition"": ""go"", ""correct"": true, ""cue_assignment"": null, ""cue_opportunity"": false, ""cue_opportunity_index"": null, ""cue_randomization_block_index"": null, ""digit"": 2, ""lsl_timestamp"": 1399179.0093386, ""marker_emit_attempted"": true, ""marker_stream_name"": ""EEGleMarkers"", ""marker_stream_source_id"": ""eegle-markers-dynamic_sart-run-20260820T161425-cd265ce895a2"", ""marker_stream_type"": ""Markers"", ""phase"": ""practice"", ""practice"": true, ""primary_outcome"": ""correct_go"", ""reaction_time_seconds"": 0.4388835998252034, ""schema_version"": 1, ""sequence_id"": ""237942804d5e24dc51a11ff9281243bab0f3fb0afd493a5da2f3cce232c141d1"", ""study_segment"": null, ""task"": ""dynamic_sart""}"
-6,dynamic_sart_stimulus_onset__v=1__trial=-6__condition=go__digit=9__block=-1__phase=practice__practice=1,EVENT,1399179.218,,"{""block"": -1, ""condition"": ""go"", ""cue_assignment"": null, ""cue_opportunity"": false, ""cue_opportunity_index"": null, ""cue_randomization_block_index"": null, ""digit"": 9, ""expected_visual_onset_lsl_timestamp"": 1399179.4149126, ""expected_visual_onset_monotonic"": 1399179.218, ""expected_visual_onset_uncertainty_ms"": 4.148969997186214, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 1399179.4149126, ""flip_monotonic"": 1399179.218, ""lsl_timestamp"": 1399179.4149126, ""marker_emit_attempted"": true, ""marker_stream_name"": ""EEGleMarkers"", ""marker_stream_source_id"": ""eegle-markers-dynamic_sart-run-20260820T161425-cd265ce895a2"", ""marker_stream_type"": ""Markers"", ""phase"": ""practice"", ""photodiode_verification_enabled"": false, ""practice"": true, ""scheduled_on_flip"": true, ""schema_version"": 1, ""sequence_id"": ""237942804d5e24dc51a11ff9281243bab0f3fb0afd493a5da2f3cce232c141d1"", ""study_segment"": null, ""task"": ""dynamic_sart"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
-6,dynamic_sart_stimulus_offset__v=1__trial=-6__condition=go__digit=9__block=-1__phase=practice__practice=1,EVENT,1399179.468,,"{""block"": -1, ""condition"": ""go"", ""cue_assignment"": null, ""cue_opportunity"": false, ""cue_opportunity_index"": null, ""cue_randomization_block_index"": null, ""digit"": 9, ""expected_visual_onset_lsl_timestamp"": 1399179.6649347, ""expected_visual_onset_monotonic"": 1399179.468, ""expected_visual_onset_uncertainty_ms"": 4.148969997186214, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 1399179.6649347, ""flip_monotonic"": 1399179.468, ""lsl_timestamp"": 1399179.6649347, ""marker_emit_attempted"": true, ""marker_stream_name"": ""EEGleMarkers"", ""marker_stream_source_id"": ""eegle-markers-dynamic_sart-run-20260820T161425-cd265ce895a2"", ""marker_stream_type"": ""Markers"", ""phase"": ""practice"", ""photodiode_verification_enabled"": false, ""practice"": true, ""scheduled_on_flip"": true, ""schema_version"": 1, ""sequence_id"": ""237942804d5e24dc51a11ff9281243bab0f3fb0afd493a5da2f3cce232c141d1"", ""study_segment"": null, ""task"": ""dynamic_sart"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
