trial,label,event_type,timestamp,value,metadata
5,go_nogo_stimulus_onset_5_go_triangle_yellow,EVENT,504013.093,,"{""color"": ""yellow"", ""expected_frame_interval_ms"": 16.670639999210835, ""expected_refresh_rate_hz"": 60.0, ""expected_visual_onset_lsl_timestamp"": 504013.1161506, ""expected_visual_onset_monotonic"": 504013.093, ""expected_visual_onset_uncertainty_ms"": 8.335319999605417, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 504013.1161506, ""flip_monotonic"": 504013.093, ""is_no_go"": false, ""lsl_timestamp"": 504013.1161506, ""marker_push_latency_ms"": 0.0, ""measured_refresh_rate_hz"": 59.98569941210048, ""photodiode_verification_enabled"": false, ""scheduled_on_flip"": true, ""shape"": ""triangle"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
5,button_press,EVENT,504013.5677174,space,"{""is_response_key"": true, ""lsl_timestamp"": 504013.590868, ""marker_push_latency_ms"": 0.0, ""rt_from_flip_seconds"": 0.47471739997854456, ""rt_seconds"": 0.47471739997854456}"
5,go_nogo_stimulus_offset_5_go_triangle_yellow,EVENT,504013.89,,"{""color"": ""yellow"", ""expected_frame_interval_ms"": 16.670639999210835, ""expected_refresh_rate_hz"": 60.0, ""expected_visual_onset_lsl_timestamp"": 504013.9248296, ""expected_visual_onset_monotonic"": 504013.89, ""expected_visual_onset_uncertainty_ms"": 8.335319999605417, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 504013.9248296, ""flip_monotonic"": 504013.89, ""is_no_go"": false, ""lsl_timestamp"": 504013.9248296, ""marker_push_latency_ms"": 0.0, ""measured_refresh_rate_hz"": 59.98569941210048, ""photodiode_verification_enabled"": false, ""scheduled_on_flip"": true, ""shape"": ""triangle"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
5,go_nogo_trial_complete,EVENT,504013.906,,"{""attention_challenge"": {""enabled"": false, ""expected_state"": ""normal"", ""is_cue_trial"": false}, ""button_press_count"": 1, ""commission_error"": 0, ""condition"": ""go"", ""correct"": true, ""correct_press"": 1, ""event_type_name"": ""go_nogo_trial_complete"", ""is_no_go"": false, ""omission_error"": 0, ""practice"": false, ""reaction_time_seconds"": 0.47471739997854456, ""schema_version"": 1, ""session_dir"": ""C:\\Users\\Surettej\\Documents\\Codespace\\eegle\\data\\participants\\sub-001-calibration\\sessions\\2026-07-14\\attention_lapse_go_nogo8_observe_only\\go_nogo\\run-20260714T125304"", ""source"": ""task.go_nogo"", ""stimulus_offset_lsl_timestamp"": 504013.9248296, ""stimulus_offset_monotonic"": 504013.89, ""stimulus_onset_lsl_timestamp"": 504013.1161506, ""stimulus_onset_monotonic"": 504013.093, ""task"": ""go_nogo""}"
6,go_nogo_stimulus_onset_6_go_hexagon_magenta,EVENT,504014.625,,"{""color"": ""magenta"", ""expected_frame_interval_ms"": 16.670639999210835, ""expected_refresh_rate_hz"": 60.0, ""expected_visual_onset_lsl_timestamp"": 504014.6491069, ""expected_visual_onset_monotonic"": 504014.625, ""expected_visual_onset_uncertainty_ms"": 8.335319999605417, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 504014.6491069, ""flip_monotonic"": 504014.625, ""is_no_go"": false, ""lsl_timestamp"": 504014.6491069, ""marker_push_latency_ms"": 0.0, ""measured_refresh_rate_hz"": 59.98569941210048, ""photodiode_verification_enabled"": false, ""scheduled_on_flip"": true, ""shape"": ""hexagon"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
6,button_press,EVENT,504015.1578878,space,"{""is_response_key"": true, ""lsl_timestamp"": 504015.1819947, ""marker_push_latency_ms"": 0.0, ""rt_from_flip_seconds"": 0.5328878000145778, ""rt_seconds"": 0.5328878000145778}"
6,go_nogo_stimulus_offset_6_go_hexagon_magenta,EVENT,504015.421,,"{""color"": ""magenta"", ""expected_frame_interval_ms"": 16.670639999210835, ""expected_refresh_rate_hz"": 60.0, ""expected_visual_onset_lsl_timestamp"": 504015.4569478, ""expected_visual_onset_monotonic"": 504015.421, ""expected_visual_onset_uncertainty_ms"": 8.335319999605417, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 504015.4569478, ""flip_monotonic"": 504015.421, ""is_no_go"": false, ""lsl_timestamp"": 504015.4569478, ""marker_push_latency_ms"": 0.0, ""measured_refresh_rate_hz"": 59.98569941210048, ""photodiode_verification_enabled"": false, ""scheduled_on_flip"": true, ""shape"": ""hexagon"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
6,go_nogo_trial_complete,EVENT,504015.437,,"{""attention_challenge"": {""enabled"": false, ""expected_state"": ""normal"", ""is_cue_trial"": false}, ""button_press_count"": 1, ""commission_error"": 0, ""condition"": ""go"", ""correct"": true, ""correct_press"": 1, ""event_type_name"": ""go_nogo_trial_complete"", ""is_no_go"": false, ""omission_error"": 0, ""practice"": false, ""reaction_time_seconds"": 0.5328878000145778, ""schema_version"": 1, ""session_dir"": ""C:\\Users\\Surettej\\Documents\\Codespace\\eegle\\data\\participants\\sub-001-calibration\\sessions\\2026-07-14\\attention_lapse_go_nogo8_observe_only\\go_nogo\\run-20260714T125304"", ""source"": ""task.go_nogo"", ""stimulus_offset_lsl_timestamp"": 504015.4569478, ""stimulus_offset_monotonic"": 504015.421, ""stimulus_onset_lsl_timestamp"": 504014.6491069, ""stimulus_onset_monotonic"": 504014.625, ""task"": ""go_nogo""}"
7,go_nogo_stimulus_onset_7_nogo_x_white,EVENT,504016.156,,"{""color"": ""white"", ""expected_frame_interval_ms"": 16.670639999210835, ""expected_refresh_rate_hz"": 60.0, ""expected_visual_onset_lsl_timestamp"": 504016.1880565, ""expected_visual_onset_monotonic"": 504016.156, ""expected_visual_onset_uncertainty_ms"": 8.335319999605417, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 504016.1880565, ""flip_monotonic"": 504016.156, ""is_no_go"": true, ""lsl_timestamp"": 504016.1880565, ""marker_push_latency_ms"": 0.0, ""measured_refresh_rate_hz"": 59.98569941210048, ""photodiode_verification_enabled"": false, ""scheduled_on_flip"": true, ""shape"": ""x"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
7,go_nogo_stimulus_offset_7_nogo_x_white,EVENT,504016.968,,"{""color"": ""white"", ""expected_frame_interval_ms"": 16.670639999210835, ""expected_refresh_rate_hz"": 60.0, ""expected_visual_onset_lsl_timestamp"": 504016.9966661, ""expected_visual_onset_monotonic"": 504016.968, ""expected_visual_onset_uncertainty_ms"": 8.335319999605417, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 504016.9966661, ""flip_monotonic"": 504016.968, ""is_no_go"": true, ""lsl_timestamp"": 504016.9966661, ""marker_push_latency_ms"": 0.0, ""measured_refresh_rate_hz"": 59.98569941210048, ""photodiode_verification_enabled"": false, ""scheduled_on_flip"": true, ""shape"": ""x"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
