marker_label,lsl_timestamp,local_received_lsl_timestamp
dynamic_sart_trial_complete__v=1__trial=-24__condition=go__digit=5__block=-1__phase=practice__practice=1,1399217.009453900,1399217.015885900
dynamic_sart_stimulus_onset__v=1__trial=-25__condition=go__digit=2__block=-1__phase=practice__practice=1,1399217.414958700,1399217.415318700
dynamic_sart_stimulus_offset__v=1__trial=-25__condition=go__digit=2__block=-1__phase=practice__practice=1,1399217.664639200,1399217.664981900
dynamic_sart_response_window_close__v=1__trial=-25__condition=go__digit=2__block=-1__phase=practice__practice=1,1399219.006401100,1399219.006731700
dynamic_sart_trial_complete__v=1__trial=-25__condition=go__digit=2__block=-1__phase=practice__practice=1,1399219.006401100,1399219.012862900
dynamic_sart_stimulus_onset__v=1__trial=-26__condition=go__digit=4__block=-1__phase=practice__practice=1,1399219.391086900,1399219.391696500
dynamic_sart_stimulus_offset__v=1__trial=-26__condition=go__digit=4__block=-1__phase=practice__practice=1,1399219.650604300,1399219.650813300
dynamic_sart_response_window_close__v=1__trial=-26__condition=go__digit=4__block=-1__phase=practice__practice=1,1399221.009385800,1399221.009683500
dynamic_sart_trial_complete__v=1__trial=-26__condition=go__digit=4__block=-1__phase=practice__practice=1,1399221.009385800,1399221.015681800
dynamic_sart_stimulus_onset__v=1__trial=-27__condition=go__digit=8__block=-1__phase=practice__practice=1,1399221.414911900,1399221.415277700
dynamic_sart_stimulus_offset__v=1__trial=-27__condition=go__digit=8__block=-1__phase=practice__practice=1,1399221.665158600,1399221.665451600
dynamic_sart_response_window_close__v=1__trial=-27__condition=go__digit=8__block=-1__phase=practice__practice=1,1399223.009971000,1399223.010253700
dynamic_sart_trial_complete__v=1__trial=-27__condition=go__digit=8__block=-1__phase=practice__practice=1,1399223.009971000,1399223.016984100
dynamic_sart_stimulus_onset__v=1__trial=-28__condition=go__digit=1__block=-1__phase=practice__practice=1,1399223.419929700,1399223.420138900
dynamic_sart_stimulus_offset__v=1__trial=-28__condition=go__digit=1__block=-1__phase=practice__practice=1,1399223.686021100,1399223.686351800
dynamic_sart_response_window_close__v=1__trial=-28__condition=go__digit=1__block=-1__phase=practice__practice=1,1399225.023143500,1399225.023443400
dynamic_sart_trial_complete__v=1__trial=-28__condition=go__digit=1__block=-1__phase=practice__practice=1,1399225.023143500,1399225.029301400
dynamic_sart_stimulus_onset__v=1__trial=-29__condition=go__digit=0__block=-1__phase=practice__practice=1,1399225.410473000,1399225.411137800
dynamic_sart_stimulus_offset__v=1__trial=-29__condition=go__digit=0__block=-1__phase=practice__practice=1,1399225.665622600,1399225.665895600
dynamic_sart_response_window_close__v=1__trial=-29__condition=go__digit=0__block=-1__phase=practice__practice=1,1399227.008866900,1399227.009058300
dynamic_sart_trial_complete__v=1__trial=-29__condition=go__digit=0__block=-1__phase=practice__practice=1,1399227.008866900,1399227.015826500
dynamic_sart_stimulus_onset__v=1__trial=-30__condition=go__digit=7__block=-1__phase=practice__practice=1,1399227.409640900,1399227.410002100
dynamic_sart_stimulus_offset__v=1__trial=-30__condition=go__digit=7__block=-1__phase=practice__practice=1,1399227.664669300,1399227.665010700
dynamic_sart_response_window_close__v=1__trial=-30__condition=go__digit=7__block=-1__phase=practice__practice=1,1399229.009482500,1399229.009720600
dynamic_sart_trial_complete__v=1__trial=-30__condition=go__digit=7__block=-1__phase=practice__practice=1,1399229.009482500,1399229.016003500
dynamic_sart_stimulus_onset__v=1__trial=-31__condition=go__digit=8__block=-2__phase=practice__practice=1,1399234.926340800,1399234.926691200
dynamic_sart_stimulus_offset__v=1__trial=-31__condition=go__digit=8__block=-2__phase=practice__practice=1,1399235.172943500,1399235.173164700
dynamic_sart_response_window_close__v=1__trial=-31__condition=go__digit=8__block=-2__phase=practice__practice=1,1399236.524410400,1399236.524741800
dynamic_sart_trial_complete__v=1__trial=-31__condition=go__digit=8__block=-2__phase=practice__practice=1,1399236.524410400,1399236.530183300
dynamic_sart_stimulus_onset__v=1__trial=-32__condition=go__digit=7__block=-2__phase=practice__practice=1,1399236.926081600,1399236.926439600
dynamic_sart_stimulus_offset__v=1__trial=-32__condition=go__digit=7__block=-2__phase=practice__practice=1,1399237.173108800,1399237.173361700
dynamic_sart_response_window_close__v=1__trial=-32__condition=go__digit=7__block=-2__phase=practice__practice=1,1399238.526268900,1399238.526561200
dynamic_sart_trial_complete__v=1__trial=-32__condition=go__digit=7__block=-2__phase=practice__practice=1,1399238.526268900,1399238.532412300
dynamic_sart_stimulus_onset__v=1__trial=-33__condition=go__digit=4__block=-2__phase=practice__practice=1,1399238.914929100,1399238.915496800
dynamic_sart_stimulus_offset__v=1__trial=-33__condition=go__digit=4__block=-2__phase=practice__practice=1,1399239.167440000,1399239.167797300
dynamic_sart_response_window_close__v=1__trial=-33__condition=go__digit=4__block=-2__phase=practice__practice=1,1399240.506630700,1399240.506946200
dynamic_sart_trial_complete__v=1__trial=-33__condition=go__digit=4__block=-2__phase=practice__practice=1,1399240.506630700,1399240.513008500
dynamic_sart_stimulus_onset__v=1__trial=-34__condition=go__digit=2__block=-2__phase=practice__practice=1,1399240.898155100,1399240.898401200
dynamic_sart_stimulus_offset__v=1__trial=-34__condition=go__digit=2__block=-2__phase=practice__practice=1,1399241.147980100,1399241.148341500
dynamic_sart_response_window_close__v=1__trial=-34__condition=go__digit=2__block=-2__phase=practice__practice=1,1399242.506489600,1399242.507031900
dynamic_sart_trial_complete__v=1__trial=-34__condition=go__digit=2__block=-2__phase=practice__practice=1,1399242.506489600,1399242.512856900
dynamic_sart_stimulus_onset__v=1__trial=-35__condition=go__digit=5__block=-2__phase=practice__practice=1,1399242.893736700,1399242.894303500
dynamic_sart_stimulus_offset__v=1__trial=-35__condition=go__digit=5__block=-2__phase=practice__practice=1,1399243.149331300,1399243.149696500
