window_start_lsl_timestamp,window_end_lsl_timestamp,window_mid_lsl_timestamp,window_start_monotonic,window_end_monotonic,window_mid_monotonic,posterior_alpha_power,Fz_alpha_power,Cz_alpha_power,Pz_alpha_power,C3_alpha_power,C4_alpha_power,P3_alpha_power,P4_alpha_power,Oz_alpha_power
503780.051439491,503781.049439545,503780.550439518,503780.082999997,503781.056999997,503780.56999999704,2.6462612728942005,2.937608940192714,2.5701577912977376,2.4690122254692066,2.764132547788252,3.070495673713716,2.2988060370557823,2.7435076917952816,2.316369275840914
503780.151439497,503781.14943955,503780.6504395235,503780.179999996,503781.153999995,503780.6669999955,2.1256292666619183,2.1961837002544673,2.0519199792814535,2.032560375514147,2.255318716545577,2.4583548355619964,1.8639233125510755,2.255176787895158,1.8915964256914708
503780.251439503,503781.249439555,503780.75043952896,503780.276999995,503781.250999994,503780.7639999945,1.4046238349485867,1.3754309427617861,1.372793972146692,1.4308652685466257,1.445639776344247,1.5597485942506268,1.28788582573203,1.5112184245962013,1.2534078752104842
503780.351439509,503781.34943956,503780.8504395345,503780.357999993,503781.350999999,503780.854499996,0.9890579098491973,0.9246632017695904,0.9863880629426222,1.0876576376050147,0.9850297920469979,1.03361005498029,1.0253298717903456,1.020246045634174,0.849538612024543
503780.451439514,503781.449439565,503780.9504395395,503780.457999999,503781.462999997,503780.960499998,1.0091499338711016,0.7276248667239147,0.9912989403458896,1.2293513672012537,1.0506860261272535,1.004698302214915,1.3191778907743743,0.8972076637116878,0.853154413869524
503780.551439519,503781.54943957,503781.0504395445,503780.570999997,503781.575999996,503781.0734999965,1.342396017828847,0.6147736012951107,1.3087175194214964,1.9264347085867408,1.4008447404676025,1.190820360485314,2.126450685335606,1.012602269834213,1.1585242572046919
503780.651439524,503781.649439575,503781.15043954947,503780.682999996,503781.672999995,503781.17799999553,1.7708081420296118,0.5920824833374753,1.7746470704667892,2.9340159317252503,1.7390965992562664,1.3694852647397928,3.033927350790602,1.2112564119581677,1.5119540239625517
503780.751439529,503781.74943958,503781.2504395545,503780.764999994,503781.773,503781.268999997,1.9658204360532947,0.6083673324304234,2.0356624919554296,3.5672410805437966,1.8587215748708221,1.3613115768596438,3.4196497381175055,1.2856829201179163,1.5899267735308187
503780.851439535,503781.849439585,503781.35043956,503780.864999999,503781.869999998,503781.36749999854,1.776496134689486,0.6320965633887601,1.86232864918827,3.347263732663647,1.7281919924320603,1.1570404720861445,3.0314321592557705,1.1257187917463483,1.3278967167548872
503780.95143954,503781.94943959,503781.450439565,503780.961999998,503781.981999997,503781.4719999975,1.4075694455203072,0.7036930999780692,1.4379375535548002,2.5104783077063093,1.5018578579976187,0.9725439337923074,2.2327459598793795,0.890362545975304,1.0109363052786686
503781.051439545,503782.049439595,503781.55043957,503781.058999997,503782.063999996,503781.56149999646,1.218983521383728,0.9463705844513743,1.2266095602851783,1.8167265379410704,1.3640829910796515,0.9786002824594932,1.6716918145899977,0.8407889791216071,0.9069974211414497
503781.15143955,503782.149439599,503781.6504395745,503781.155999995,503782.160999995,503781.658499995,1.4987610683558312,1.5309592798993819,1.5917787874940927,1.9051426154620557,1.5234078262757498,1.2701122699413399,1.8442410977496886,1.1773700608678679,1.1470766091564726
503781.251439555,503782.249439603,503781.750439579,503781.252999994,503782.260999999,503781.7569999965,2.070619710591887,2.3628061628002195,2.286464230378156,2.54843920444447,1.8834932217186526,1.7424408906347981,2.497208423316097,1.690661957249371,1.553443594193329
503781.35143956,503782.349439607,503781.85043958353,503781.352999999,503782.357999998,503781.85549999855,2.433178947703251,2.9718912154986152,2.6741859232673053,2.9697940546958357,2.0931664077140892,2.067239295551881,2.9099938719513165,1.9588959369439594,1.8202648760030018
