global_trial_index,phase,is_practice,stimulus_onset_monotonic,stimulus_onset_lsl,scheduled_response_window_close_monotonic,scheduled_response_window_close_lsl,response_window_close_monotonic,response_window_close_lsl,response_window_close_overshoot_seconds,scheduled_next_trial_onset_monotonic,actual_next_trial_onset_monotonic,actual_next_trial_onset_lsl,actual_trial_duration_seconds,actual_trial_duration_lsl_seconds,next_onset_schedule_drift_seconds,planned_break_after_trial,probe_after,timing_semantics_version,timing_finalization_status
3,support,0,1296604.843,1296605.0422044,1296606.4430000002,1296606.6422044002,1296606.453,1296606.6387612,0.009999999776482582,1296606.4430000002,1296606.531,1296606.7174101,1.6879999998491257,1.6752056998666376,0.08799999975599349,0,0,2,measured_from_next_stimulus_flip
4,support,0,1296606.531,1296606.7174101,1296608.131,1296608.3174101,1296608.14,1296608.3272298,0.008999999845400453,1296608.131,1296608.203,1296608.4014804,1.672000000020489,1.6840703000780195,0.07199999992735684,0,0,2,measured_from_next_stimulus_flip
5,support,0,1296608.203,1296608.4014804,1296609.803,1296610.0014804,1296609.812,1296609.9986525,0.008999999845400453,1296609.803,1296609.89,1296610.084213,1.6869999999180436,1.6827326000202447,0.08699999982491136,0,0,2,measured_from_next_stimulus_flip
6,support,0,1296609.89,1296610.084213,1296611.49,1296611.6842130001,1296611.5,1296611.6866126,0.010000000009313226,1296611.49,1296611.578,1296611.775827,1.6880000000819564,1.6916139998938888,0.08799999998882413,0,0,2,measured_from_next_stimulus_flip
7,support,0,1296611.578,1296611.775827,1296613.178,1296613.375827,1296613.187,1296613.3741432,0.008999999845400453,1296613.178,1296613.265,1296613.451435,1.6869999999180436,1.6756080000195652,0.08699999982491136,0,0,2,measured_from_next_stimulus_flip
8,support,0,1296613.265,1296613.451435,1296614.865,1296615.051435,1296614.875,1296615.061667,0.010000000009313226,1296614.865,1296614.968,1296615.1572763,1.7030000002123415,1.7058413000777364,0.10300000011920929,0,0,2,measured_from_next_stimulus_flip
9,support,0,1296614.968,1296615.1572763,1296616.5680000002,1296616.7572763,1296616.578,1296616.7653874,0.009999999776482582,1296616.5680000002,1296616.671,1296616.8589456,1.702999999979511,1.7016692999750376,0.10299999988637865,0,0,2,measured_from_next_stimulus_flip
10,support,0,1296616.671,1296616.8589456,1296618.2710000002,1296618.4589456,1296618.281,1296618.4678186,0.009999999776482582,1296618.2710000002,1296618.359,1296618.5455969,1.6879999998491257,1.6866512999404222,0.08799999975599349,0,0,2,measured_from_next_stimulus_flip
11,support,0,1296618.359,1296618.5455969,1296619.959,1296620.1455969,1296619.968,1296620.154027,0.009000000078231096,1296619.959,1296620.046,1296620.2340527,1.6870000001508743,1.6884558000601828,0.087000000057742,0,0,2,measured_from_next_stimulus_flip
12,support,0,1296620.046,1296620.2340527,1296621.6460000002,1296621.8340527,1296621.656,1296621.8424635,0.009999999776482582,1296621.6460000002,1296621.718,1296621.907158,1.672000000020489,1.6731052999384701,0.07199999992735684,0,0,2,measured_from_next_stimulus_flip
13,support,0,1296621.718,1296621.907158,1296623.3180000002,1296623.507158,1296623.328,1296623.5147916,0.009999999776482582,1296623.3180000002,1296623.39,1296623.5789477,1.6719999997876585,1.671789700165391,0.0719999996945262,0,0,2,measured_from_next_stimulus_flip
14,support,0,1296623.39,1296623.5789477,1296624.99,1296625.1789477002,1296625.0,1296625.1855963,0.010000000009313226,1296624.99,1296625.078,1296625.274918,1.6880000000819564,1.6959702998865396,0.08799999998882413,0,0,2,measured_from_next_stimulus_flip
15,support,0,1296625.078,1296625.274918,1296626.678,1296626.874918,1296626.687,1296626.8738559,0.008999999845400453,1296626.678,1296626.765,1296626.9615537,1.6869999999180436,1.6866357000544667,0.08699999982491136,0,0,2,measured_from_next_stimulus_flip
16,support,0,1296626.765,1296626.9615537,1296628.365,1296628.5615537001,1296628.375,1296628.5626505,0.010000000009313226,1296628.365,1296628.437,1296628.6299491,1.672000000020489,1.6683954000473022,0.07199999992735684,0,0,2,measured_from_next_stimulus_flip
17,support,0,1296628.437,1296628.6299491,1296630.037,1296630.2299491002,1296630.046,1296630.2322242,0.009000000078231096,1296630.037,1296630.109,1296630.3089051,1.672000000020489,1.6789559999015182,0.07199999992735684,0,0,2,measured_from_next_stimulus_flip
18,support,0,1296630.109,1296630.3089051,1296631.709,1296631.9089051,1296631.718,1296631.9042542,0.009000000078231096,1296631.709,1296631.781,1296631.9739205,1.672000000020489,1.6650153999216855,0.07199999992735684,0,0,2,measured_from_next_stimulus_flip
19,support,0,1296631.781,1296631.9739205,1296633.381,1296633.5739205,1296633.39,1296633.5785816,0.008999999845400453,1296633.381,1296633.468,1296633.6661228,1.6870000001508743,1.6922023000661284,0.087000000057742,0,0,2,measured_from_next_stimulus_flip
20,support,0,1296633.468,1296633.6661228,1296635.0680000002,1296635.2661228,1296635.078,1296635.2662593,0.009999999776482582,1296635.0680000002,1296635.156,1296635.3478762,1.6879999998491257,1.6817534000147134,0.08799999975599349,0,0,2,measured_from_next_stimulus_flip
