global_trial_index,phase,is_practice,stimulus_onset_monotonic,stimulus_onset_lsl,scheduled_response_window_close_monotonic,scheduled_response_window_close_lsl,response_window_close_monotonic,response_window_close_lsl,response_window_close_overshoot_seconds,scheduled_next_trial_onset_monotonic,actual_next_trial_onset_monotonic,actual_next_trial_onset_lsl,actual_trial_duration_seconds,actual_trial_duration_lsl_seconds,next_onset_schedule_drift_seconds,planned_break_after_trial,probe_after,timing_semantics_version,timing_finalization_status
-52,practice,1,1399276.718,1399276.9069436,1399278.3180000002,1399278.5069436,1399278.312,1399278.5068388,0.0,1399278.3180000002,1399278.703,1399278.8985396,1.9849999998696148,1.9915960000362247,0.3849999997764826,0,,2,measured_from_next_stimulus_flip
-53,practice,1,1399278.703,1399278.8985396,1399280.303,1399280.4985396,1399280.312,1399280.508159,0.008999999845400453,1399280.303,1399280.718,1399280.9080556,2.015000000130385,2.0095160000491887,0.4150000000372529,0,,2,measured_from_next_stimulus_flip
-54,practice,1,1399280.718,1399280.9080556,1399282.3180000002,1399282.5080556,1399282.312,1399282.5064039,0.0,1399282.3180000002,1399282.703,1399282.8929706,1.9849999998696148,1.9849149999208748,0.3849999997764826,0,,2,measured_from_next_stimulus_flip
-55,practice,1,1399282.703,1399282.8929706,1399284.303,1399284.4929706,1399284.312,1399284.5065761,0.008999999845400453,1399284.303,1399284.703,1399284.89395,2.0,2.000979400007054,0.39999999990686774,0,,2,measured_from_next_stimulus_flip
-56,practice,1,1399284.703,1399284.89395,1399286.303,1399286.49395,1399286.312,1399286.5090772,0.008999999845400453,1399286.303,1399286.718,1399286.9063787,2.015000000130385,2.012428699992597,0.4150000000372529,0,,2,measured_from_next_stimulus_flip
-57,practice,1,1399286.718,1399286.9063787,1399288.3180000002,1399288.5063787,1399288.312,1399288.5066135,0.0,1399288.3180000002,1399288.703,1399288.8910461,1.9849999998696148,1.984667400131002,0.3849999997764826,0,,2,measured_from_next_stimulus_flip
-58,practice,1,1399288.703,1399288.8910461,1399290.303,1399290.4910461002,1399290.312,1399290.5066922,0.008999999845400453,1399290.303,1399290.703,1399290.8978586,2.0,2.0068124998360872,0.39999999990686774,0,,2,measured_from_next_stimulus_flip
-59,practice,1,1399290.703,1399290.8978586,1399292.303,1399292.4978586,1399292.312,1399292.5063699,0.008999999845400453,1399292.303,1399292.703,1399292.8979354,2.0,2.000076800119132,0.39999999990686774,0,,2,measured_from_next_stimulus_flip
-60,practice,1,1399292.703,1399292.8979354,1399294.303,1399294.4979354,1399294.312,1399294.5063667,0.008999999845400453,1399294.303,1399300.921,1399301.107877,8.218000000109896,8.209941599983722,6.618000000016764,0,,2,measured_from_next_stimulus_flip
1,support,0,1399300.921,1399301.107877,1399302.5210000002,1399302.707877,1399302.515,1399302.706837,0.0,1399302.5210000002,1399302.515,1399302.706879,1.5939999998081475,1.5990019999444485,-0.006000000284984708,0,0,2,measured_from_next_stimulus_flip
2,support,0,1399302.515,1399302.706879,1399304.115,1399304.306879,1399304.109,1399304.3065129,0.0,1399304.115,1399304.109,1399304.3065581,1.5940000000409782,1.599679100094363,-0.006000000052154064,0,0,2,measured_from_next_stimulus_flip
3,support,0,1399304.109,1399304.3065581,1399305.709,1399305.9065581001,1399305.703,1399305.8979565,0.0,1399305.709,1399305.703,1399305.897996,1.5940000000409782,1.5914378999732435,-0.006000000052154064,0,0,2,measured_from_next_stimulus_flip
4,support,0,1399305.703,1399305.897996,1399307.303,1399307.497996,1399307.312,1399307.5063065,0.008999999845400453,1399307.303,1399307.312,1399307.5063533,1.6089999999385327,1.6083573000505567,0.008999999845400453,0,0,2,measured_from_next_stimulus_flip
