global_trial_index,phase,is_practice,stimulus_onset_monotonic,stimulus_onset_lsl,scheduled_response_window_close_monotonic,scheduled_response_window_close_lsl,response_window_close_monotonic,response_window_close_lsl,response_window_close_overshoot_seconds,scheduled_next_trial_onset_monotonic,actual_next_trial_onset_monotonic,actual_next_trial_onset_lsl,actual_next_trial_within_block,actual_trial_duration_seconds,actual_trial_duration_lsl_seconds,next_onset_schedule_drift_seconds,next_onset_schedule_drift_timebase,planned_break_after_trial,probe_after,timing_semantics_version,timing_finalization_status
23,support,0,6215.0641733,6215.0984732,6216.664173300001,6216.6984732,6216.6641644,6216.6984694,0.0,6216.664173300001,6216.664206400001,6216.6985065,1,1.6000331000004735,1.6000333000001774,3.330000017731649e-05,lsl_flip,0,0,2,measured_from_next_stimulus_flip
24,support,0,6216.664206400001,6216.6985065,6218.264206400001,6218.2985065,6218.2643751000005,6218.29868,0.00016869999944901792,6218.264206400001,6218.2644157,6218.2987158,1,1.600209299999733,1.600209299999733,0.0002092999997329592,lsl_flip,0,0,2,measured_from_next_stimulus_flip
25,support,0,6218.2644157,6218.2987158,6219.864415700001,6219.8987158,6219.864173000001,6219.8984777,0.0,6219.864415700001,6219.8642151,6219.898515,1,1.599799399999938,1.5997992000002341,-0.00020079999976596596,lsl_flip,0,0,2,measured_from_next_stimulus_flip
26,support,0,6219.8642151,6219.898515,6221.464215100001,6221.498515,6221.4641866,6221.4984919,0.0,6221.464215100001,6221.4642296,6221.4985296,1,1.6000144999998156,1.600014600000577,1.460000057695865e-05,lsl_flip,0,0,2,measured_from_next_stimulus_flip
27,support,0,6221.4642296,6221.4985296,6223.0642296000005,6223.098529600001,6223.0637646000005,6223.0980708,0.0,6223.0642296000005,6223.063809,6223.0981091,1,1.5995794000000387,1.5995794999998907,-0.0004205000001094028,lsl_flip,0,0,2,measured_from_next_stimulus_flip
28,support,0,6223.063809,6223.0981091,6224.663809000001,6224.698109100001,6224.6637255000005,6224.6980312,0.0,6224.663809000001,6224.663771300001,6224.6980713,1,1.5999623000006977,1.5999621999999363,-3.7800000063814565e-05,lsl_flip,0,0,2,measured_from_next_stimulus_flip
29,support,0,6224.663771300001,6224.6980713,6226.263771300001,6226.298071300001,6226.263898800001,6226.2982053,0.0001274999995075632,6226.263771300001,6226.2639469000005,6226.298247,1,1.6001755999996021,1.600175699999454,0.00017569999945399317,lsl_flip,0,0,2,measured_from_next_stimulus_flip
30,support,0,6226.2639469000005,6226.298247,6227.863946900001,6227.898247,6227.8635849,6227.8978902,0.0,6227.863946900001,6227.863629400001,6227.8979294,1,1.599682500000199,1.5996824000003471,-0.00031759999965297325,lsl_flip,0,0,2,measured_from_next_stimulus_flip
31,support,0,6227.863629400001,6227.8979294,6229.463629400001,6229.4979294,6229.464164600001,6229.4984706,0.000535199999831093,6229.463629400001,6229.46421,6229.4985101,1,1.6005805999993754,1.6005807000001369,0.000580700000136769,lsl_flip,0,0,2,measured_from_next_stimulus_flip
32,support,0,6229.46421,6229.4985101,6231.0642100000005,6231.098510100001,6231.063562300001,6231.097868,0.0,6231.0642100000005,6231.0636055,6231.0979056,1,1.5993955000003552,1.5993954999994457,-0.0006045000005543422,lsl_flip,0,0,2,measured_from_next_stimulus_flip
33,support,0,6231.0636055,6231.0979056,6232.663605500001,6232.6979056,6232.6640868,6232.6983929,0.00048129999959201086,6232.663605500001,6232.664134600001,6232.6984345,1,1.6005291000001307,1.6005289000004268,0.000528900000426713,lsl_flip,0,0,2,measured_from_next_stimulus_flip
34,support,0,6232.664134600001,6232.6984345,6234.264134600001,6234.2984345,6234.268308400001,6234.3026143,0.004173799999989569,6234.264134600001,6234.2683549,6234.302655,1,1.6042202999997244,1.6042205000003378,0.00422050000033769,lsl_flip,0,0,2,measured_from_next_stimulus_flip
35,support,0,6234.2683549,6234.302655,6235.868354900001,6235.902655000001,6235.872502900001,6235.9068082,0.004147999999986496,6235.868354900001,6235.8725468,6235.9068469,1,1.6041918999999325,1.6041918999999325,0.004191899999932414,lsl_flip,0,0,2,measured_from_next_stimulus_flip
36,support,0,6235.8725468,6235.9068469,6237.472546800001,6237.506846900001,6237.4726066,6237.5069127,5.979999968985794e-05,6237.472546800001,6237.472654200001,6237.5069544,1,1.6001074000005246,1.600107499999467,0.00010749999946702005,lsl_flip,0,0,2,measured_from_next_stimulus_flip
37,support,0,6237.472654200001,6237.5069544,6239.072654200001,6239.1069544,6239.076952400001,6239.1112582,0.004298199999539065,6239.072654200001,6239.0770007,6239.1113006,1,1.6043464999993375,1.6043461999997817,0.004346199999781586,lsl_flip,0,0,2,measured_from_next_stimulus_flip
38,support,0,6239.0770007,6239.1113006,6240.6770007000005,6240.7113006,6240.685174900001,6240.7194804,0.008174200000212295,6240.6770007000005,6240.6852211000005,6240.7195212,1,1.6082204000003912,1.6082206000000951,0.008220600000095057,lsl_flip,0,0,2,measured_from_next_stimulus_flip
39,support,0,6240.6852211000005,6240.7195212,6242.285221100001,6242.3195212,6242.2913832,6242.3256886,0.0061620999995284365,6242.285221100001,6242.291427900001,6242.3257279,1,1.606206800000109,1.6062067000002571,0.006206700000257026,lsl_flip,0,0,2,measured_from_next_stimulus_flip
40,support,0,6242.291427900001,6242.3257279,6243.891427900001,6243.9257279,6243.889135,6243.9234405,0.0,6243.891427900001,6243.8891811,6243.9234809,1,1.5977531999997154,1.5977530000000115,-0.0022469999999885637,lsl_flip,0,0,2,measured_from_next_stimulus_flip
