marker_label,lsl_timestamp,local_received_lsl_timestamp
dynamic_sart_stimulus_onset__v=1__trial=5__condition=go__digit=1__block=1__phase=support__practice=0,6186.300218700,6186.300619400
dynamic_sart_trial_complete__v=1__trial=4__condition=go__digit=5__block=1__phase=support__practice=0,6186.300180100,6186.306477200
dynamic_sart_stimulus_offset__v=1__trial=5__condition=go__digit=1__block=1__phase=support__practice=0,6186.551053500,6186.551303400
dynamic_sart_response_window_close__v=1__trial=5__condition=go__digit=1__block=1__phase=support__practice=0,6187.898215800,6187.898541200
dynamic_sart_stimulus_onset__v=1__trial=6__condition=go__digit=6__block=1__phase=support__practice=0,6187.898257000,6187.898749400
dynamic_sart_trial_complete__v=1__trial=5__condition=go__digit=1__block=1__phase=support__practice=0,6187.898215800,6187.904325700
dynamic_sart_recorder_warning__v=1__trial=7__condition=go__digit=2__block=1__phase=support__practice=0,6187.918667500,6187.918912200
dynamic_sart_stimulus_offset__v=1__trial=6__condition=go__digit=6__block=1__phase=support__practice=0,6188.148069400,6188.148645000
dynamic_sart_response_window_close__v=1__trial=6__condition=go__digit=6__block=1__phase=support__practice=0,6189.498056200,6189.498280200
dynamic_sart_stimulus_onset__v=1__trial=7__condition=go__digit=2__block=1__phase=support__practice=0,6189.498091300,6189.498433300
dynamic_sart_trial_complete__v=1__trial=6__condition=go__digit=6__block=1__phase=support__practice=0,6189.498056200,6189.504682700
dynamic_sart_stimulus_offset__v=1__trial=7__condition=go__digit=2__block=1__phase=support__practice=0,6189.748000200,6189.748474300
dynamic_sart_response_window_close__v=1__trial=7__condition=go__digit=2__block=1__phase=support__practice=0,6191.098030300,6191.098322600
dynamic_sart_stimulus_onset__v=1__trial=8__condition=go__digit=7__block=1__phase=support__practice=0,6191.098067900,6191.098490600
dynamic_sart_trial_complete__v=1__trial=7__condition=go__digit=2__block=1__phase=support__practice=0,6191.098030300,6191.105737400
dynamic_sart_stimulus_offset__v=1__trial=8__condition=go__digit=7__block=1__phase=support__practice=0,6191.348047900,6191.348529300
dynamic_sart_response_window_close__v=1__trial=8__condition=go__digit=7__block=1__phase=support__practice=0,6192.698250100,6192.698547700
dynamic_sart_stimulus_onset__v=1__trial=9__condition=no_go__digit=3__block=1__phase=support__practice=0,6192.698290100,6192.698715600
dynamic_sart_trial_complete__v=1__trial=8__condition=go__digit=7__block=1__phase=support__practice=0,6192.698250100,6192.706006300
dynamic_sart_stimulus_offset__v=1__trial=9__condition=no_go__digit=3__block=1__phase=support__practice=0,6192.948228500,6192.949233400
dynamic_sart_response_window_close__v=1__trial=9__condition=no_go__digit=3__block=1__phase=support__practice=0,6194.298085800,6194.298362200
dynamic_sart_stimulus_onset__v=1__trial=10__condition=go__digit=4__block=1__phase=support__practice=0,6194.298122700,6194.298521800
dynamic_sart_trial_complete__v=1__trial=9__condition=no_go__digit=3__block=1__phase=support__practice=0,6194.298085800,6194.304331800
dynamic_sart_stimulus_offset__v=1__trial=10__condition=go__digit=4__block=1__phase=support__practice=0,6194.548720500,6194.549192600
dynamic_sart_response_window_close__v=1__trial=10__condition=go__digit=4__block=1__phase=support__practice=0,6195.898098700,6195.898608000
dynamic_sart_stimulus_onset__v=1__trial=11__condition=go__digit=8__block=1__phase=support__practice=0,6195.898138800,6195.899089500
dynamic_sart_trial_complete__v=1__trial=10__condition=go__digit=4__block=1__phase=support__practice=0,6195.898098700,6195.904475000
dynamic_sart_stimulus_offset__v=1__trial=11__condition=go__digit=8__block=1__phase=support__practice=0,6196.148058000,6196.148643400
dynamic_sart_response_window_close__v=1__trial=11__condition=go__digit=8__block=1__phase=support__practice=0,6197.498469000,6197.498776300
dynamic_sart_stimulus_onset__v=1__trial=12__condition=go__digit=6__block=1__phase=support__practice=0,6197.498509900,6197.498959200
dynamic_sart_trial_complete__v=1__trial=11__condition=go__digit=8__block=1__phase=support__practice=0,6197.498469000,6197.504792300
dynamic_sart_stimulus_offset__v=1__trial=12__condition=go__digit=6__block=1__phase=support__practice=0,6197.750957500,6197.751155700
dynamic_sart_response_window_close__v=1__trial=12__condition=go__digit=6__block=1__phase=support__practice=0,6199.098146100,6199.098454900
dynamic_sart_stimulus_onset__v=1__trial=13__condition=go__digit=0__block=1__phase=support__practice=0,6199.098182400,6199.098611900
dynamic_sart_trial_complete__v=1__trial=12__condition=go__digit=6__block=1__phase=support__practice=0,6199.098146100,6199.104466700
dynamic_sart_stimulus_offset__v=1__trial=13__condition=go__digit=0__block=1__phase=support__practice=0,6199.348288400,6199.348885800
dynamic_sart_response_window_close__v=1__trial=13__condition=go__digit=0__block=1__phase=support__practice=0,6200.698194200,6200.698517000
dynamic_sart_stimulus_onset__v=1__trial=14__condition=go__digit=7__block=1__phase=support__practice=0,6200.698235300,6200.698698000
dynamic_sart_trial_complete__v=1__trial=13__condition=go__digit=0__block=1__phase=support__practice=0,6200.698194200,6200.704469400
dynamic_sart_stimulus_offset__v=1__trial=14__condition=go__digit=7__block=1__phase=support__practice=0,6200.948092100,6200.948690800
dynamic_sart_response_window_close__v=1__trial=14__condition=go__digit=7__block=1__phase=support__practice=0,6202.298782800,6202.299251900
dynamic_sart_stimulus_onset__v=1__trial=15__condition=go__digit=4__block=1__phase=support__practice=0,6202.298829700,6202.299401800
dynamic_sart_trial_complete__v=1__trial=14__condition=go__digit=7__block=1__phase=support__practice=0,6202.298782800,6202.305454400
dynamic_sart_stimulus_offset__v=1__trial=15__condition=go__digit=4__block=1__phase=support__practice=0,6202.549812600,6202.550075500
dynamic_sart_response_window_close__v=1__trial=15__condition=go__digit=4__block=1__phase=support__practice=0,6203.898273000,6203.898576500
dynamic_sart_stimulus_onset__v=1__trial=16__condition=go__digit=1__block=1__phase=support__practice=0,6203.898309600,6203.898749700
dynamic_sart_trial_complete__v=1__trial=15__condition=go__digit=4__block=1__phase=support__practice=0,6203.898273000,6203.906215300
dynamic_sart_stimulus_offset__v=1__trial=16__condition=go__digit=1__block=1__phase=support__practice=0,6204.147965900,6204.148527300
dynamic_sart_response_window_close__v=1__trial=16__condition=go__digit=1__block=1__phase=support__practice=0,6205.498210400,6205.498513800
dynamic_sart_stimulus_onset__v=1__trial=17__condition=go__digit=9__block=1__phase=support__practice=0,6205.498249800,6205.498658000
dynamic_sart_trial_complete__v=1__trial=16__condition=go__digit=1__block=1__phase=support__practice=0,6205.498210400,6205.504180300
dynamic_sart_stimulus_offset__v=1__trial=17__condition=go__digit=9__block=1__phase=support__practice=0,6205.748484800,6205.748742200
dynamic_sart_response_window_close__v=1__trial=17__condition=go__digit=9__block=1__phase=support__practice=0,6207.098508000,6207.098803200
dynamic_sart_stimulus_onset__v=1__trial=18__condition=go__digit=5__block=1__phase=support__practice=0,6207.098544800,6207.098972200
dynamic_sart_trial_complete__v=1__trial=17__condition=go__digit=9__block=1__phase=support__practice=0,6207.098508000,6207.104685200
dynamic_sart_stimulus_offset__v=1__trial=18__condition=go__digit=5__block=1__phase=support__practice=0,6207.348210300,6207.348836700
dynamic_sart_response_window_close__v=1__trial=18__condition=go__digit=5__block=1__phase=support__practice=0,6208.698034100,6208.698335700
dynamic_sart_stimulus_onset__v=1__trial=19__condition=no_go__digit=3__block=1__phase=support__practice=0,6208.698074700,6208.698515600
dynamic_sart_trial_complete__v=1__trial=18__condition=go__digit=5__block=1__phase=support__practice=0,6208.698034100,6208.704947100
dynamic_sart_stimulus_offset__v=1__trial=19__condition=no_go__digit=3__block=1__phase=support__practice=0,6208.948038700,6208.948617300
dynamic_sart_response_window_close__v=1__trial=19__condition=no_go__digit=3__block=1__phase=support__practice=0,6210.298181100,6210.298936000
dynamic_sart_stimulus_onset__v=1__trial=20__condition=go__digit=2__block=1__phase=support__practice=0,6210.298222800,6210.299108600
dynamic_sart_trial_complete__v=1__trial=19__condition=no_go__digit=3__block=1__phase=support__practice=0,6210.298181100,6210.304647100
dynamic_sart_stimulus_offset__v=1__trial=20__condition=go__digit=2__block=1__phase=support__practice=0,6210.548758200,6210.549002900
dynamic_sart_response_window_close__v=1__trial=20__condition=go__digit=2__block=1__phase=support__practice=0,6211.898644800,6211.898831700
dynamic_sart_stimulus_onset__v=1__trial=21__condition=go__digit=9__block=1__phase=support__practice=0,6211.898680100,6211.898974700
dynamic_sart_trial_complete__v=1__trial=20__condition=go__digit=2__block=1__phase=support__practice=0,6211.898644800,6211.905203000
dynamic_sart_stimulus_offset__v=1__trial=21__condition=go__digit=9__block=1__phase=support__practice=0,6212.148612200,6212.149224100
dynamic_sart_response_window_close__v=1__trial=21__condition=go__digit=9__block=1__phase=support__practice=0,6213.498525800,6213.498813600
dynamic_sart_stimulus_onset__v=1__trial=22__condition=go__digit=6__block=1__phase=support__practice=0,6213.498562700,6213.498973700
dynamic_sart_trial_complete__v=1__trial=21__condition=go__digit=9__block=1__phase=support__practice=0,6213.498525800,6213.506283800
dynamic_sart_stimulus_offset__v=1__trial=22__condition=go__digit=6__block=1__phase=support__practice=0,6213.748503400,6213.748700800
dynamic_sart_response_window_close__v=1__trial=22__condition=go__digit=6__block=1__phase=support__practice=0,6215.098428100,6215.098837800
dynamic_sart_stimulus_onset__v=1__trial=23__condition=go__digit=1__block=1__phase=support__practice=0,6215.098473200,6215.099008400
dynamic_sart_trial_complete__v=1__trial=22__condition=go__digit=6__block=1__phase=support__practice=0,6215.098428100,6215.106512800
dynamic_sart_stimulus_offset__v=1__trial=23__condition=go__digit=1__block=1__phase=support__practice=0,6215.348337500,6215.349034200
dynamic_sart_response_window_close__v=1__trial=23__condition=go__digit=1__block=1__phase=support__practice=0,6216.698469400,6216.698748100
dynamic_sart_stimulus_onset__v=1__trial=24__condition=go__digit=2__block=1__phase=support__practice=0,6216.698506500,6216.698924100
dynamic_sart_trial_complete__v=1__trial=23__condition=go__digit=1__block=1__phase=support__practice=0,6216.698469400,6216.704744900
dynamic_sart_stimulus_offset__v=1__trial=24__condition=go__digit=2__block=1__phase=support__practice=0,6216.948450100,6216.949044400
